city;measurement;time;type;stat;kind;radar;speed
Zbydniów;1;dzien;Osobowe;Max;fotoradar;FALSE;102
Żarnowo Drugie;1;dzien;Osobowe;Max;fotoradar;FALSE;123
Żukowo;1;dzien;Osobowe;Max;fotoradar;FALSE;109
Aleksandrów;1;dzien;Dostawcze;Max;fotoradar;FALSE;125
Boćki;1;dzien;Dostawcze;Max;fotoradar;FALSE;85
Bratian;1;dzien;Dostawcze;Max;fotoradar;FALSE;83
Cielcza;1;dzien;Dostawcze;Max;fotoradar;FALSE;91
Czerwińsk nad Wisłą;1;dzien;Dostawcze;Max;fotoradar;FALSE;99
Domaradz;1;dzien;Dostawcze;Max;fotoradar;FALSE;129
Egiertowo;1;dzien;Dostawcze;Max;fotoradar;FALSE;82
Gniechowice;1;dzien;Dostawcze;Max;fotoradar;FALSE;88
Jedlińsk;1;dzien;Dostawcze;Max;fotoradar;FALSE;157
Kleczanów;1;dzien;Dostawcze;Max;fotoradar;FALSE;139
Kozienice;1;dzien;Dostawcze;Max;fotoradar;FALSE;91
Kraczkowa;1;dzien;Dostawcze;Max;fotoradar;FALSE;164
Libidza;1;dzien;Dostawcze;Max;fotoradar;FALSE;114
Lubień;1;dzien;Dostawcze;Max;fotoradar;FALSE;104
Lubliniec;1;dzien;Dostawcze;Max;fotoradar;FALSE;175
Łąck;1;dzien;Dostawcze;Max;fotoradar;FALSE;108
Łuszczów Pierwszy;1;dzien;Dostawcze;Max;fotoradar;FALSE;111
Małkowo;1;dzien;Dostawcze;Max;fotoradar;FALSE;144
Mniów;1;dzien;Dostawcze;Max;fotoradar;FALSE;116
Mokrzeszów;1;dzien;Dostawcze;Max;fotoradar;FALSE;95
Nowa Wieś;1;dzien;Dostawcze;Max;fotoradar;FALSE;92
Nowy Targ;1;dzien;Dostawcze;Max;fotoradar;FALSE;93
Ojrzeń;1;dzien;Dostawcze;Max;fotoradar;FALSE;72
Opatów;1;dzien;Dostawcze;Max;fotoradar;FALSE;90
Ostrów Wielkopolski;1;dzien;Dostawcze;Max;fotoradar;FALSE;88
Ostrówek;1;dzien;Dostawcze;Max;fotoradar;FALSE;119
Ożarów;1;dzien;Dostawcze;Max;fotoradar;FALSE;96
Pawłowice;1;dzien;Dostawcze;Max;fotoradar;FALSE;140
Polichna;1;dzien;Dostawcze;Max;fotoradar;FALSE;110
Przasnysz;1;dzien;Dostawcze;Max;fotoradar;FALSE;83
Przerzeczyn Zdrój;1;dzien;Dostawcze;Max;fotoradar;FALSE;104
Przytoczno;1;dzien;Dostawcze;Max;fotoradar;FALSE;120
Samborowo;1;dzien;Dostawcze;Max;fotoradar;FALSE;86
Sławno;1;dzien;Dostawcze;Max;fotoradar;FALSE;155
Słupca;1;dzien;Dostawcze;Max;fotoradar;FALSE;96
Smolice;1;dzien;Dostawcze;Max;fotoradar;FALSE;117
Wilczowola;1;dzien;Dostawcze;Max;fotoradar;FALSE;92
Zbydniów;1;dzien;Dostawcze;Max;fotoradar;FALSE;97
Żarnowo Drugie;1;dzien;Dostawcze;Max;fotoradar;FALSE;99
Żukowo;1;dzien;Dostawcze;Max;fotoradar;FALSE;83
Aleksandrów;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Boćki;1;dzien;Ciężarowe;Max;fotoradar;FALSE;72
Bratian;1;dzien;Ciężarowe;Max;fotoradar;FALSE;72
Cielcza;1;dzien;Ciężarowe;Max;fotoradar;FALSE;88
Czerwińsk nad Wisłą;1;dzien;Ciężarowe;Max;fotoradar;FALSE;88
Domaradz;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Egiertowo;1;dzien;Ciężarowe;Max;fotoradar;FALSE;78
Gniechowice;1;dzien;Ciężarowe;Max;fotoradar;FALSE;82
Jedlińsk;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Kleczanów;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Kozienice;1;dzien;Ciężarowe;Max;fotoradar;FALSE;72
Kraczkowa;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Libidza;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Lubień;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Lubliniec;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Łąck;1;dzien;Ciężarowe;Max;fotoradar;FALSE;86
Łuszczów Pierwszy;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Małkowo;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Mniów;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Mokrzeszów;1;dzien;Ciężarowe;Max;fotoradar;FALSE;69
Nowa Wieś;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Nowy Targ;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Ojrzeń;1;dzien;Ciężarowe;Max;fotoradar;FALSE;78
Opatów;1;dzien;Ciężarowe;Max;fotoradar;FALSE;77
Ostrów Wielkopolski;1;dzien;Ciężarowe;Max;fotoradar;FALSE;76
Ostrówek;1;dzien;Ciężarowe;Max;fotoradar;FALSE;91
Ożarów;1;dzien;Ciężarowe;Max;fotoradar;FALSE;80
Pawłowice;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Polichna;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Przasnysz;1;dzien;Ciężarowe;Max;fotoradar;FALSE;74
Przerzeczyn Zdrój;1;dzien;Ciężarowe;Max;fotoradar;FALSE;85
Przytoczno;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Samborowo;1;dzien;Ciężarowe;Max;fotoradar;FALSE;63
Sławno;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Słupca;1;dzien;Ciężarowe;Max;fotoradar;FALSE;88
Smolice;1;dzien;Ciężarowe;Max;fotoradar;FALSE;92
Wilczowola;1;dzien;Ciężarowe;Max;fotoradar;FALSE;87
Zbydniów;1;dzien;Ciężarowe;Max;fotoradar;FALSE;82
Żarnowo Drugie;1;dzien;Ciężarowe;Max;fotoradar;FALSE;82
Żukowo;1;dzien;Ciężarowe;Max;fotoradar;FALSE;75
Aleksandrów;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;96
Boćki;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;70
Bratian;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;78
Cielcza;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;82
Czerwińsk nad Wisłą;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;86
Domaradz;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;98
Egiertowo;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;73
Gniechowice;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;80
Jedlińsk;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;102
Kleczanów;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;88
Kozienice;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;69
Kraczkowa;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;102
Libidza;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;95
Lubień;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;97
Lubliniec;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;90
Łąck;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;79
Łuszczów Pierwszy;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;84
Małkowo;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;82
Mniów;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;93
Mokrzeszów;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;71
Nowa Wieś;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;82
Nowy Targ;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;84
Ojrzeń;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;69
Opatów;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;81
Ostrów Wielkopolski;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;71
Ostrówek;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;94
Ożarów;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;80
Pawłowice;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;102
Polichna;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;95
Przasnysz;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;80
Przerzeczyn Zdrój;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;87
Przytoczno;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;92
Samborowo;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;56
Sławno;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;102
Słupca;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;85
Smolice;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;91
Wilczowola;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;70
Zbydniów;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;77
Żarnowo Drugie;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;82
Żukowo;1;dzien;Ciężarowe z przyczepą i autobusy;Max;fotoradar;FALSE;67
Aleksandrów;1;dzien;Jednoślady;Mean;fotoradar;FALSE;66
Boćki;1;dzien;Jednoślady;Mean;fotoradar;FALSE;22
Bratian;1;dzien;Jednoślady;Mean;fotoradar;FALSE;34
Cielcza;1;dzien;Jednoślady;Mean;fotoradar;FALSE;36
Czerwińsk nad Wisłą;1;dzien;Jednoślady;Mean;fotoradar;FALSE;45
Domaradz;1;dzien;Jednoślady;Mean;fotoradar;FALSE;45
Egiertowo;1;dzien;Jednoślady;Mean;fotoradar;FALSE;34
Gniechowice;1;dzien;Jednoślady;Mean;fotoradar;FALSE;38
Jedlińsk;1;dzien;Jednoślady;Mean;fotoradar;FALSE;76
Kleczanów;1;dzien;Jednoślady;Mean;fotoradar;FALSE;43
Kozienice;1;dzien;Jednoślady;Mean;fotoradar;FALSE;29
Kraczkowa;1;dzien;Jednoślady;Mean;fotoradar;FALSE;71
Libidza;1;dzien;Jednoślady;Mean;fotoradar;FALSE;43
Lubień;1;dzien;Jednoślady;Mean;fotoradar;FALSE;61
Lubliniec;1;dzien;Jednoślady;Mean;fotoradar;FALSE;73
Łąck;1;dzien;Jednoślady;Mean;fotoradar;FALSE;57
Łuszczów Pierwszy;1;dzien;Jednoślady;Mean;fotoradar;FALSE;34
Małkowo;1;dzien;Jednoślady;Mean;fotoradar;FALSE;61
Mniów;1;dzien;Jednoślady;Mean;fotoradar;FALSE;45
Mokrzeszów;1;dzien;Jednoślady;Mean;fotoradar;FALSE;43
Nowa Wieś;1;dzien;Jednoślady;Mean;fotoradar;FALSE;37
Nowy Targ;1;dzien;Jednoślady;Mean;fotoradar;FALSE;44
Ojrzeń;1;dzien;Jednoślady;Mean;fotoradar;FALSE;16
Opatów;1;dzien;Jednoślady;Mean;fotoradar;FALSE;41
Ostrów Wielkopolski;1;dzien;Jednoślady;Mean;fotoradar;FALSE;30
Ostrówek;1;dzien;Jednoślady;Mean;fotoradar;FALSE;44
Ożarów;1;dzien;Jednoślady;Mean;fotoradar;FALSE;30
Pawłowice;1;dzien;Jednoślady;Mean;fotoradar;FALSE;60
Polichna;1;dzien;Jednoślady;Mean;fotoradar;FALSE;40
Przasnysz;1;dzien;Jednoślady;Mean;fotoradar;FALSE;32
Przerzeczyn Zdrój;1;dzien;Jednoślady;Mean;fotoradar;FALSE;30
Przytoczno;1;dzien;Jednoślady;Mean;fotoradar;FALSE;20
Samborowo;1;dzien;Jednoślady;Mean;fotoradar;FALSE;19
Sławno;1;dzien;Jednoślady;Mean;fotoradar;FALSE;81
Słupca;1;dzien;Jednoślady;Mean;fotoradar;FALSE;36
Smolice;1;dzien;Jednoślady;Mean;fotoradar;FALSE;40
Wilczowola;1;dzien;Jednoślady;Mean;fotoradar;FALSE;22
Zbydniów;1;dzien;Jednoślady;Mean;fotoradar;FALSE;33
